medicamentosap,textobrevemedicamento,med_std,esencial,esencial_item,esencial_desc
12,"TABLA DE MADERA PARAISO 1""","TABLA DE MADERA PARAISO 1""","No esencial","",""
13,"TABLA DE MADERA PARAISO 2""""","TABLA DE MADERA PARAISO 2""""","No esencial","",""
2000000,"ACELGA","ACELGA","No esencial","",""
2000001,"ACELGA JAPONESA","ACELGA JAPONESA","No esencial","",""
2000002,"BATATA","BATATA","No esencial","",""
2000003,"BERENJENA","BERENJENA","No esencial","",""
2000004,"CEBOLLA","CEBOLLA","No esencial","",""
2000005,"CEBOLLITA EN HOJA","CEBOLLITA EN HOJA","No esencial","",""
2000006,"COLIFLOR","COLIFLOR","No esencial","",""
2000007,"ESPINACA","ESPINACA","No esencial","",""
2000008,"LECHUGA PIRATI","LECHUGA PIRATI","No esencial","",""
2000009,"LECHUGA REP REPOLLADA","LECHUGA REP REPOLLADA","No esencial","",""
2000010,"LOCOTE VERDE O ROJO","LOCOTE VERDE O ROJO","No esencial","",""
2000011,"NABO","NABO","No esencial","",""
2000012,"PAPA BLANCA O NEGRA LAVADA","PAPA BLANCA O NEGRA LAVADA","No esencial","",""
2000013,"PEPINO","PEPINO","No esencial","",""
2000014,"PEREJIL","PEREJIL","No esencial","",""
2000015,"RABANITO SIN HOJAS","RABANITO SIN HOJAS","No esencial","",""
2000016,"REMOLACHA","REMOLACHA","No esencial","",""
2000017,"REPOLLO BLANCO","REPOLLO BLANCO","No esencial","",""
2000018,"TOMATE LISO","TOMATE LISO","No esencial","",""
2000019,"TOMATE PERITA","TOMATE PERITA","No esencial","",""
2000020,"ZANAHORIA","ZANAHORIA","No esencial","",""
2000021,"ZAPALLITO DE TRONCO","ZAPALLITO DE TRONCO","No esencial","",""
2000022,"ZAPALLITO ITALIANO O ZUCCHINI","ZAPALLITO ITALIANO O ZUCCHINI","No esencial","",""
2000023,"ZAPALLO","ZAPALLO","No esencial","",""
2000024,"BANANA","BANANA","No esencial","",""
2000025,"CIRUELA NEGRA","CIRUELA NEGRA","No esencial","",""
2000026,"LIMON TAHITI O JAPONES","LIMON TAHITI O JAPONES","No esencial","",""
2000027,"MANZANA","MANZANA","No esencial","",""
2000028,"MELON JAPONES","MELON JAPONES","No esencial","",""
2000029,"NARANJA","NARANJA","No esencial","",""
2000030,"PERA","PERA","No esencial","",""
2000031,"PIÑA","PINA","No esencial","",""
2000032,"SANDIA","SANDIA","No esencial","",""
2000033,"UVA ROSA","UVA ROSA","No esencial","",""
2000034,"ACEITE DE GIRASOL","ACEITE DE GIRASOL","No esencial","",""
2000035,"ACEITE DE OLIVA","ACEITE DE OLIVA","No esencial","",""
2000036,"AJO","AJO","No esencial","",""
2000037,"ALBAHACA DESHIDRATADA","ALBAHACA DESHIDRATADA","No esencial","",""
2000038,"ARROZ INTEGRAL","ARROZ INTEGRAL","No esencial","",""
2000039,"ARROZ PARBOLIZADO","ARROZ PARBOLIZADO","No esencial","",""
2000040,"ARROZ TIPO II","ARROZ TIPO II","No esencial","",""
2000041,"ARVEJA ENLATADA","ARVEJA ENLATADA","No esencial","",""
2000042,"ARVEJA PARTIDA SECA","ARVEJA PARTIDA SECA","No esencial","",""
2000043,"ATÚN SÓLIDO AL AGUA O EN CALDO","ATUN SOLIDO AL AGUA O EN CALDO","No esencial","",""
2000044,"AVENA ARROLLADA INSTANTÁNEA","AVENA ARROLLADA INSTANTANEA","No esencial","",""
2000045,"AZÚCAR BLANCA","AZUCAR BLANCA","No esencial","",""
2000046,"CAFÉ TOSTADO MOLIDO","CAFE TOSTADO MOLIDO","No esencial","",""
2000047,"CALDO DE POLLO DESHIDRATADO","CALDO DE POLLO DESHIDRATADO","No esencial","",""
2000048,"CALDO DE VERDURA DESHIDRATADO","CALDO DE VERDURA DESHIDRATADO","No esencial","",""
2000049,"CARNE DE SOJA GRANULADA O SOJA TEXTURADA","CARNE DE SOJA GRANULADA O SOJA TEXTURADA","No esencial","",""
2000050,"CHOCLO GRANO – ENLATADO","CHOCLO GRANO – ENLATADO","No esencial","",""
2000051,"COMINO MOLIDO","COMINO MOLIDO","No esencial","",""
2000052,"CÚRCUMA MOLIDA","CURCUMA MOLIDA","No esencial","",""
2000053,"EDULCORANTE  LÍQUIDO","EDULCORANTE  LIQUIDO","No esencial","",""
2000054,"EXTRACTO  DE TOMATE","EXTRACTO  DE TOMATE","No esencial","",""
2000055,"FÉCULA DE MAÍZ","FECULA DE MAIZ","No esencial","",""
2000056,"FIDEO CABELLO DE ÁNGEL","FIDEO CABELLO DE ANGEL","No esencial","",""
2000057,"FIDEO TUBO INCLINADO MASCARRONI","FIDEO TUBO INCLINADO MASCARRONI","No esencial","",""
2000058,"FIDEO ESPAGUETTI","FIDEO ESPAGUETTI","No esencial","",""
2000059,"FIDEO ESPIRAL FUSILLI","FIDEO ESPIRAL FUSILLI","No esencial","",""
2000060,"FIDEO TALLARIN FETUCCINI","FIDEO TALLARIN FETUCCINI","No esencial","",""
2000061,"FIDEO MOÑITO","FIDEO MONITO","No esencial","",""
2000062,"NO USAR","NO USAR","No esencial","",""
2000063,"FIDEO INTEGRAL DE TRIGO DURO","FIDEO INTEGRAL DE TRIGO DURO","No esencial","",""
2000064,"GALLETAS DE ARROZ INTEGRAL SIN GLUTEN-GA","GALLETAS DE ARROZ INTEGRAL SIN GLUTEN-GA","No esencial","",""
2000065,"GALLETAS MOLIDA","GALLETAS MOLIDA","No esencial","",""
2000066,"HARINA DE TRIGO TIPO 0000","HARINA DE TRIGO TIPO 0000","No esencial","",""
2000067,"JUGO NATURAL","JUGO NATURAL","No esencial","",""
2000068,"LAUREL DESHIDRATADO","LAUREL DESHIDRATADO","No esencial","",""
2000069,"LECHE ENTERA  EN POLVO","LECHE ENTERA  EN POLVO","No esencial","",""
2000070,"LENTEJAS","LENTEJAS","No esencial","",""
2000071,"LOCRO","LOCRO","No esencial","",""
2000072,"MAYONESA","MAYONESA","No esencial","",""
2000073,"MERMELADA DE FRUTAS –FRUTILLA","MERMELADA DE FRUTAS –FRUTILLA","No esencial","",""
2000074,"MOSTAZA","MOSTAZA","No esencial","",""
2000075,"NUEZ MOSCADA MOLIDA","NUEZ MOSCADA MOLIDA","No esencial","",""
2000076,"ORÉGANO DESHIDRATADO","OREGANO DESHIDRATADO","No esencial","",""
2000077,"PIMIENTA NEGRA MOLIDA","PIMIENTA NEGRA MOLIDA","No esencial","",""
2000078,"PIMIENTÓN DULCE CONDIMENTO","PIMIENTON DULCE CONDIMENTO","No esencial","",""
2000079,"POLVO INSTANTÁNEO BEBIDA SABOR A FRUTA","POLVO INSTANTANEO BEBIDA SABOR A FRUTA","No esencial","",""
2000080,"POROTO NEGRO","POROTO NEGRO","No esencial","",""
2000081,"POROTO SAN FRANCISCO","POROTO SAN FRANCISCO","No esencial","",""
2000082,"PURE DE PAPAS INSTANTÁNEO","PURE DE PAPAS INSTANTANEO","No esencial","",""
2000083,"PURÉ DE TOMATE","PURE DE TOMATE","No esencial","",""
2000084,"SAL YODADA ENTREFINA","SAL YODADA ENTREFINA","No esencial","",""
2000085,"SAL YODADA FINA","SAL YODADA FINA","No esencial","",""
2000086,"SAL YODADA FINA EN SOBRES INDIVIDUALES","SAL YODADA FINA EN SOBRES INDIVIDUALES","No esencial","",""
2000087,"SALSA DE SOJA","SALSA DE SOJA","No esencial","",""
2000088,"SALSA DE TOMATE TIPO KETCHUP","SALSA DE TOMATE TIPO KETCHUP","No esencial","",""
2000089,"TÉ NEGRO SAQUITOS ENSOBRADO","TE NEGRO SAQUITOS ENSOBRADO","No esencial","",""
2000090,"VINAGRE DE VINO BLANCO","VINAGRE DE VINO BLANCO","No esencial","",""
2000091,"YERBA MATE MOLIENDA FINA","YERBA MATE MOLIENDA FINA","No esencial","",""
2000092,"ARROZ CON LECHE","ARROZ CON LECHE","No esencial","",""
2000093,"CHOCLO FRESCO DE MAÍZ","CHOCLO FRESCO DE MAIZ","No esencial","",""
2000094,"CREMA DE LECHE","CREMA DE LECHE","No esencial","",""
2000095,"DISCOS PARA EMPANADAS","DISCOS PARA EMPANADAS","No esencial","",""
2000096,"FLAN","FLAN","No esencial","",""
2000097,"HARINA DE MAÍZ COCIDA","HARINA DE MAIZ COCIDA","No esencial","",""
2000098,"HUEVO MEDIANO","HUEVO MEDIANO","No esencial","",""
2000099,"LECHE DESCREMADA PASTEURIZADA","LECHE DESCREMADA PASTEURIZADA","No esencial","",""
2000100,"LECHE ENTERA FLUIDA PASTEURIZADA","LECHE ENTERA FLUIDA PASTEURIZADA","No esencial","",""
2000101,"MANDIOCA FRESCA PELADA","MANDIOCA FRESCA PELADA","No esencial","",""
2000102,"MANTECA SIN SAL","MANTECA SIN SAL","No esencial","",""
2000103,"ÑOQUIS PRECOCIDOS","NOQUIS PRECOCIDOS","No esencial","",""
2000104,"POROTO MANTECA FRESCO","POROTO MANTECA FRESCO","No esencial","",""
2000105,"QUESO PARAGUAY","QUESO PARAGUAY","No esencial","",""
2000106,"QUESO SARDO","QUESO SARDO","No esencial","",""
2000107,"YOGUR DESCREMADO","YOGUR DESCREMADO","No esencial","",""
2000108,"YOGUR ENTERO","YOGUR ENTERO","No esencial","",""
2000109,"CARNAZA BLANCA MAGRA AL VACÍO","CARNAZA BLANCA MAGRA AL VACIO","No esencial","",""
2000110,"NALGA SIN TAPA AL VACÍO","NALGA SIN TAPA AL VACIO","No esencial","",""
2000111,"PECETO AL VACÍO","PECETO AL VACIO","No esencial","",""
2000112,"LENGUA COCIDA PELADA, AL VACÍO","LENGUA COCIDA PELADA, AL VACIO","No esencial","",""
2000113,"MATAMBRE AL VACÍO","MATAMBRE AL VACIO","No esencial","",""
2000114,"MUSLO DE POLLO","MUSLO DE POLLO","No esencial","",""
2000115,"PECHUGA DE POLLO","PECHUGA DE POLLO","No esencial","",""
2000116,"CHAUCHA CONGELADA","CHAUCHA CONGELADA","No esencial","",""
2000117,"HELADO CREMOSO EN POTES","HELADO CREMOSO EN POTES","No esencial","",""
2000118,"TILAPIA CONGELADOS","TILAPIA CONGELADOS","No esencial","",""
2000119,"GALLETA EN BOLSITAS INDIVIDUALES","GALLETA EN BOLSITAS INDIVIDUALES","No esencial","",""
2000120,"PALITO EN BOLSITAS DE 6 UNIDADES","PALITO EN BOLSITAS DE 6 UNIDADES","No esencial","",""
2000121,"PANCITO INTEGRAL EN BOLSITAS INDIVIDUALE","PANCITO INTEGRAL EN BOLSITAS INDIVIDUALE","No esencial","",""
2000122,"PANCITO DE VIENA EN BOLSITAS INDIVIDUALE","PANCITO DE VIENA EN BOLSITAS INDIVIDUALE","No esencial","",""
2000123,"PALITO INTEGRAL EN BOLSITAS DE 6 UNIDADE","PALITO INTEGRAL EN BOLSITAS DE 6 UNIDADE","No esencial","",""
